index,Balance_ID,History_ID,Date,Money_Flow,Source,Source_Seq_No,Transaction_Amount,Balance,Unnamed: 0
,28073,135490,11/29/2019 17:05,-37.0,qitaf2,2,-37.0,0.0,35.0
,28073,135493,11/29/2019 17:13,37.0,qitaf2,2,37.0,37.0,36.0
,28073,135494,11/29/2019 17:13,38.0,qitaf1,1,38.0,75.0,37.0
,28073,139108,12/13/2019 17:08,-75.0,qitaf2,2,-37.0,38.0,38.0
,28073,139108,12/13/2019 17:08,-75.0,qitaf1,1,-38.0,0.0,39.0
,28074,135486,11/29/2019 16:55,699.0,qitaf1,1,699.0,699.0,40.0
,28074,135491,11/29/2019 17:07,-699.0,qitaf1,1,-699.0,0.0,41.0
,28075,135492,11/29/2019 17:07,171.0,qitaf1,1,171.0,171.0,42.0
,28075,136989,12-04-2019 11:21,-159.8,qitaf1,1,-159.8,11.199999999999989,43.0
,28075,398560,5/18/2020 16:21,-11.2,qitaf1,1,-11.2,0.0,44.0
,28075,398659,5/18/2020 18:02,11.2,qitaf1,1,11.2,11.2,45.0
,28075,411208,5/31/2020 11:25,-11.2,qitaf1,1,-11.2,0.0,46.0
,28075,411248,5/31/2020 11:49,11.2,qitaf1,1,11.2,11.2,47.0
,28075,411251,5/31/2020 11:50,-11.2,qitaf1,1,-11.2,0.0,48.0
,28076,135496,11/29/2019 17:34,12.0,qitaf1,1,12.0,12.0,49.0
,28076,135566,11/29/2019 21:29,-12.0,qitaf1,1,-12.0,0.0,50.0
,28076,135572,11/29/2019 21:36,12.0,qitaf1,1,12.0,12.0,51.0
,28077,135505,11/29/2019 17:57,300.0,qitaf1,1,300.0,300.0,52.0
,28077,144153,12/30/2019 18:57,-300.0,qitaf1,1,-300.0,0.0,53.0
,28077,726142,1/31/2021 18:04,149.0,qitaf2,2,149.0,149.0,54.0
,28077,726143,1/31/2021 18:04,-149.0,qitaf2,2,-149.0,0.0,55.0
,28077,735152,02-07-2021 17:53,295.0,qitaf3,3,295.0,295.0,56.0
,28077,735154,02-07-2021 17:53,-295.0,qitaf3,3,-295.0,0.0,57.0
,28077,792291,04-11-2021 11:40,30.0,qitaf4,4,30.0,30.0,58.0
,28077,792292,04-11-2021 11:40,-30.0,qitaf4,4,-30.0,0.0,59.0
,28077,1144315,8/23/2022 10:55,109.0,qitaf5,5,109.0,109.0,60.0
,28077,1144316,8/23/2022 10:55,-109.0,qitaf5,5,-109.0,0.0,61.0
,28078,135507,11/29/2019 18:21,1329.0,PAYED/CANCELLED1,1,1329.0,1329.0,62.0
,28078,135508,11/29/2019 21:21,-1329.0,PAYED/CANCELLED1,1,-1329.0,0.0,63.0
