balance_id,history_id,updated_at,balance_delta,balance_amount,additional_info,payment_source,payment_type,reference_number
28080,144621,12/31/2019 21:12,250,831,Reverse of Original Transaction ID 136988,,,
28080,144621,12/31/2019 21:12,250,831,Reverse of Original Transaction ID 136988,,,
28080,144622,12/31/2019 21:12,81,912,Reverse of Original Transaction ID 135815,ALRAJHI,,2746229417
28080,144623,12/31/2019 21:12,-250,662,Reverse of Original Transaction ID 135817,Order,Pay,22019823
28080,144624,12/31/2019 21:13,-250,412,Reverse of Original Transaction ID 136987,Order,Pay,22036429
28080,144625,12/31/2019 21:13,250,662,Alrajhi Coupon SR250#2746229417,ALRAJHI,,2746229417
28080,144626,12/31/2019 21:13,250,912,Alrajhi Coupon SR250#0211789446,ALRAJHI,,211789446
28080,144627,12/31/2019 21:13,-81,831,order #22019823 .,Order,Pay,22019823
28080,144628,12/31/2019 21:13,-250,581,order #22019823 .,Order,Pay,22019823
28080,144629,12/31/2019 21:13,-250,331,order #22036429 .,Order,Pay,22036429
28080,144630,12/31/2019 21:13,-331,0,order #22036429 .,Order,Pay,22036429
